flag,domain,company,contact,title,detail,priority,campaign
possible undisclosed parent,petrellielectr.wpengine.com,"Petrelli Electric, INC",James Stillwell,Founder / SVP Events and Experiential Marketing,aclipsemarketing.net,P3-candidate,
possible undisclosed parent,tessllc.us,TESS Electrical Sales & Service,Paul Salenieks,Owner,tesselec.com,Nurture-candidate,
possible undisclosed parent,ev-edison.com,EV Edison,David Daly,President,milhouseinc.com,P3-candidate,
possible undisclosed parent,rcswv.com,"Roberts Corrosion Services, LLC",Michael Roberts,Business Owner,robertscorrosionservices.com,P3-candidate,
possible undisclosed parent,otmlocating.com,"On The Mark Utility Locating Services, Inc.",John Bryant,Partner and General Manager,rochester.rr.com,P3-candidate,
possible undisclosed parent,weatherguardaero.com,Weather Guard Lightning Tech,Allen Hall,President,wglightning.com,P3-candidate,
possible undisclosed parent,andersonandwood.com,Anderson & Wood Construction Co,Fred Oliver,President,awconst.com,master-P2,
possible undisclosed parent,nationalcarcharging.com,National Car Charging,Jim Burness,CEO and GM,alohacharge.com,campaign-Nurture,EV Charging
possible undisclosed parent,goemc.com,Energy Management Corporation,Steven Rossiter,Co-Founder & CEO,emcsolutions.com,P3-candidate,
possible undisclosed parent,goemc.com,Energy Management Corporation,Paul Rossiter,President,emcsolutions.com,P3-candidate,
possible undisclosed parent,allsouthlightningprotection.com,All South Lightning Protection Inc.,Ronald Poirier,Founder & President,aslp.net,master-P2,
possible undisclosed parent,allsouthlightningprotection.com,All South Lightning Protection Inc.,Angela Reimer,CFO,aslp.net,master-P2,
possible undisclosed parent,premierautomation.com,Premier Automation LLC,Mike Gunniers,Owner,panelshop.com,master-DQ,
possible undisclosed parent,panelshop.com,PanelShop.com,Mike Gunniers,Owner,premierautomation.com,master-P3,
possible undisclosed parent,geflorida.com,Gibson Electric,Louie Wise,Chief Executive Officer,intec360.com,master-DQ,
possible undisclosed parent,geflorida.com,Gibson Electric,Louie Wise,Chief Executive Officer,climatecontrolflorida.com,master-DQ,
possible undisclosed parent,reconcompany.org,"Re-Con Company, Inc.",John Henry,President,recongroupinc.com,master-P3,
possible undisclosed parent,dtselectric.com,Dts Electric,Anon Yarbrough,President,ees-ca.com,master-P3,
possible undisclosed parent,omahaelectric.com,"Omaha Electric Service, Inc.",John Lepak,President and CEO,oes-system.com,master-P2,
possible undisclosed parent,solutionsbyapex.com,APEX Controls,Andy Winkel,Chief Executive Officer,apexcontrols.cc,master-DQ,
possible undisclosed parent,cpteng.com,"ControlPoint Technologies, Inc.",Frank Barys,Principal Engineer,controlpointtech.com,master-P3,
possible undisclosed parent,westgaelectric.com,West Georgia Electric,Dennis Jones,Founder,wge108.com,master-P3,
possible undisclosed parent,powerconsultingassociates.com,Power Consulting Associates,Thad Mumm,President,pca-llc.biz,master-P3,
possible undisclosed parent,powerconsultingassociates.com,Power Consulting Associates,David Grooms,President & CEO,pca-llc.biz,master-P3,
possible undisclosed parent,jeincmn.com,Jackson Electric Inc.,Cody Jackson,Vice President,jacksonelectricwinthrop.com,master-P3,
possible undisclosed parent,electricalservicesco.com,Electrical Services Company,Cathy Simpson,CFO and Owner,pacbell.net,master-P2,
possible undisclosed parent,jfcelectric.com,JFC Electric LLC,Nicky Clark,Chief Financial Officer,jfcnetwork.com,master-DQ,
possible undisclosed parent,directionaldrilling.com,"ClearPath Utility Solutions, LLC",Rodney Riley,Owner,cpusllc.com,master-DQ,
possible undisclosed parent,guardianmfg.com,Guardian Manufacturing,Chuck Smith,Owner,pinnacleozone.com,master-DQ,
possible undisclosed parent,stfranciselectric.com,"St Francis Electric, LLC",Andy Amador,Owner,sfe-inc.com,master-DQ,
possible undisclosed parent,stfranciselectric.com,"St Francis Electric, LLC",Guy Smith,President,sfe-inc.com,master-DQ,
possible undisclosed parent,gyre9.com,Gyre9,Ed Gilchrest,President,g9ev.com,master-P3,
possible undisclosed parent,bls-us.com,"Black Label Services, Inc",Dean Rucker,Co-CEO,blsoil.com,master-P3,
possible undisclosed parent,powertemp.com,Power Temp Systems,Bret Adams,Company Owner,totalenergysolutions.com,master-P3,
possible undisclosed parent,powertemp.com,Power Temp Systems,Brad Jenkins,President,grandmarketingsolutions.com,master-P3,
possible undisclosed parent,axxisbuildingsystems.com,"Axxis Building Systems, Inc.",Jasenko Alagic,President and Managing Partner,axxis-corp.com,master-P3,
possible undisclosed parent,skytecpro.com,Skytec,Catherine Lasso,Founder and President,usgllc811.com,master-DQ,
possible undisclosed parent,transportationsystemsinc.com,Transportation Systems Inc,Eric Lesso,Chief Executive Officer,tsi-fl.com,master-P3,
possible undisclosed parent,graceport.com,Grace Technologies,Philip Allen,Founder,grace-eng.com,master-P3,
possible undisclosed parent,powerproplusinc.com,Power Pro Plus INC.,Felipe Oliden,President/ceo,pppi.us,master-P3,
possible undisclosed parent,wetsinc.net,wetsinc.net,James McCasland,President & CEO,suddenlink.net,valDQ-review,
possible undisclosed parent,hbutilities.com,HB Utilities,Christopher Adrian,Vice President,harperbro.com,master-DQ,
possible undisclosed parent,ahindllc.com,"A&H Industries, LLC",Hamid Zamanian,Partner,ahindustriesllc.com,master-DQ,
possible undisclosed parent,truecompassnw.com,"True Compass, LLC",Douglas Wolfson,President,true-compass.net,master-P3,
contact is not a decision maker,crowneram.com,,Robert Spajer,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,americanscii.com,,Kevin Swier,Engineering Manger and CFO,,campaign-P2,
contact is not a decision maker,americanscii.com,,Jeffrey Miller,Automation Manager,,campaign-P2,
contact is not a decision maker,electricmotorservices.net,,Rande Livengood,Plant Manager,,campaign-P2,
contact is not a decision maker,ucspower.com,,Lauren Doiron,Business Manager,,P2-candidate,
contact is not a decision maker,ucspower.com,,Nestor Castellanos,General Superintendent,,P2-candidate,
contact is not a decision maker,pagoda-electrical.com,,Marci Mayer,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,mid-southelectric.net,,Demario Leakes,Service Manager,,campaign-P2,
contact is not a decision maker,blountelectrical.com,,Matt Marshall,CFO,,ben-A,
contact is not a decision maker,cawtn.com,,Kristie Firman,Shop Manager,,ben-A,
contact is not a decision maker,s1inc.co,,Tim Mounger,Chief Financial Officer,,ben-A,
contact is not a decision maker,tristateec.com,,Scott McCoy,CFO,,ben-A,
contact is not a decision maker,prenergy.com,,Elbano Provenzali,Gerente de Gestion de Proyectos,,campaign-Nurture,
contact is not a decision maker,prenergy.com,,Carlos Rodriguez,Project Manager,,campaign-Nurture,
contact is not a decision maker,rscelectrical.com,,Mike Merantza,Electrical Service Director,,campaign-Nurture,
contact is not a decision maker,northstarpowerinc.com,,Ronna M.,Business Office Manager,,campaign-Nurture,
contact is not a decision maker,gstpowerservice.com,,Lori Haynes,Business Manager,,campaign-Nurture,
contact is not a decision maker,pgdservices.com,,Erica Irby,Chief Financial Officer,,campaign-Nurture,
contact is not a decision maker,ehvconstruction.com,,Ty Gray,General Foreman,,campaign-Nurture,
contact is not a decision maker,fuimuscompanies.com,,Jonathan Strickland,Construction Manager,,campaign-Nurture,
contact is not a decision maker,ipatlantic.com,,Jeffry Cusatis,General Foreman,,campaign-Nurture,
contact is not a decision maker,ipatlantic.com,,Jimmie Olds,Construction Manager,,campaign-Nurture,
contact is not a decision maker,statelineusa.com,,Greg Smith,Foreman,,campaign-Nurture,
contact is not a decision maker,ajgoulderelectric.com,,Chris Carlson,Electrical Estimator and Service Manager,,campaign-P2,
contact is not a decision maker,bandhelectric.com,,Matthew Haney,Electrical Contractor,,campaign-P2,
contact is not a decision maker,cpmelectric.com,,Marjorie Sutherland,Administrator,,campaign-P2,
contact is not a decision maker,flemingtoninstrument.com,,Ron Falkenstein,Service Manager,,campaign-P2,
contact is not a decision maker,gulfelec.com,,Rick Sommer,General Foreman,,campaign-P3,
contact is not a decision maker,powertekllc.com,,David White,General Superintendent,,campaign-Nurture,
contact is not a decision maker,electricinnovations.com,,Marc Catalano,Chief Financial Officer,,campaign-P3,
contact is not a decision maker,groveselectric.com,,Maria Groves,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,performanceelectricalllc.com,,Matei Cristea,Warehouse Manager,,campaign-P2,
contact is not a decision maker,iegusa.com,,Josh Boling,Branch Manager,,campaign-P2,
contact is not a decision maker,ppultd.co.uk,,Paul Elliott,Branch Manager,,campaign-P2,
contact is not a decision maker,jsinspect.com,,Charles Hooks,VP Marketing and Business Development,,campaign-P2,
contact is not a decision maker,ldpassociates.com,,Chalasani Mahidar,M D,,campaign-P2,
contact is not a decision maker,globalpowergroup.com,,Salvador Ceballos,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,michianacontracting.com,,Lisa Botto,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,coastlinepowersolutions.com,,Kevin Price,Chief Financial Officer,,campaign-P3,
contact is not a decision maker,tlselectric.com,,Stephen Vaughan,Director,,campaign-P2,
contact is not a decision maker,pevarnik.com,,Matthew Dragan,Construction Project Manager,,campaign-P2,
contact is not a decision maker,radec.com,,Dave Prosser,Field manager,,campaign-P2,
contact is not a decision maker,sconservices.com,,Scott Hendrickson,Manager,,campaign-P2,
contact is not a decision maker,sas-llc.net,,Eric Estle,Division Manager,,campaign-P2,
contact is not a decision maker,tclelectric.com,,Frank Cesarone,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,solutionservicescorp.com,,Jacob Black,Project Manager,,campaign-P2,
contact is not a decision maker,craft-electric.com,,Heather White,CFO,,campaign-P2,
contact is not a decision maker,sytekelectric.com,,Jeremy Saintes,Subsea Manager,,campaign-P2,
contact is not a decision maker,precisionmachllc.com,,Israel Perez Jr,Project Manager,,campaign-P2,
contact is not a decision maker,singerelectric.com,,Durud Ahmed,Marketing Manager,,campaign-Nurture,
contact is not a decision maker,mmpowerline.com,,Steve Adasiewicz,Master electrician project manager,,campaign-Nurture,
contact is not a decision maker,cobaltcivil.com,,Daniel Sheets,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,americanenergy.us,,Francisco Cabrera,Gerente de planta,,campaign-P2,
contact is not a decision maker,utilitex.com,,Jimmy Richey,General Management,,campaign-Nurture,
contact is not a decision maker,power-upllc.com,,Dawn Reynolds,Operations Manager,,campaign-P2,
contact is not a decision maker,flamtech-energy.com,,Alejandra Colina,Freelance graphic designer,,campaign-Nurture,
contact is not a decision maker,apspower.com,,Lisa Friedman,Business Manager,,campaign-P3,
contact is not a decision maker,genelco-inc.com,,Chad Lund,CFO,,campaign-Nurture,
contact is not a decision maker,rudylhawkinselectrical.com,,Damon Parrish,Project Manager,,campaign-P3,
contact is not a decision maker,telstarinc.com,,Martin Ruiz,Project Manager and Engineer,,campaign-P2,
contact is not a decision maker,triunenc.com,,Justin Hunt,Shop Manager For Control Panel Fabrication Facility,,campaign-P2,
contact is not a decision maker,fie-inc.com,,Bob Kingston,Division Manager,,campaign-P2,
contact is not a decision maker,harcrowelectric.com,,John Barnes,Contractor,,campaign-P2,
contact is not a decision maker,mojaveelectric.com,,Rodney McMurry,General Forman,,campaign-P2,
contact is not a decision maker,paloselectric.com,,Christopher Talbott,Director of Operations - Wireless Division,,campaign-P2,
contact is not a decision maker,strianoelectric.com,,Jeff Amberger,Project Manager,,campaign-P2,
contact is not a decision maker,oceancoastelectric.com,,Stan Tasev,CFO,,campaign-P2,
contact is not a decision maker,lascoelectrical.com,,Charles Fite,Licensed Master and Operations Manager,,campaign-P3,
contact is not a decision maker,avsengineering.net,,Rajender Singh,Self Employed,,campaign-Nurture,
contact is not a decision maker,darbyelectric.com,,Michael S Darby,Chairperson,,campaign-P2,
contact is not a decision maker,industrialelectricalco.com,,David Frazier,CFO,,campaign-P2,
contact is not a decision maker,djselectrical.com,,Melody McFarlane,Administrator,,campaign-P2,
contact is not a decision maker,geoforceutilitytech.com,,Hall Cummings,General Foreman,,campaign-P2,
contact is not a decision maker,sigalutility.com,,Michelle Vance,Electric Utility Construction Division Manager,,campaign-P2,
contact is not a decision maker,pinnaclepowersvcs.com,,Jason Keller,Area Manager,,campaign-P3,
contact is not a decision maker,duthiepower.com,,Carlos Cestero,CFO,,campaign-P2,
contact is not a decision maker,epowernetwork.com,,Mark Mccallick,CFO,,campaign-P2,
contact is not a decision maker,outsenelectric.com,,Greg Outsen,Manager,,campaign-P2,
contact is not a decision maker,halleyeng.com,,Christopher Halley,Entrepreneur,,campaign-P3,
contact is not a decision maker,empower-electric.com,,Brad Briggs,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,postelectric.net,,Kathy Shipp,Secretary and Treasurer,,campaign-Nurture,
contact is not a decision maker,rileyelectricco.com,,Derek Riley,Chief Financial Officer,,campaign-P3,
contact is not a decision maker,clevelandpumprepair.com,,Mike Eisengart,Branch Manager,,campaign-P2,
contact is not a decision maker,failureprevention.com,,Karl Hoffower,Executive Director,,campaign-Nurture,
contact is not a decision maker,primeacdcmotors.com,,Umar Zaman,Operations Manager,,campaign-Nurture,
contact is not a decision maker,hibbsinc.com,,Greg Deahl,Solutions Manager,,campaign-P2,
contact is not a decision maker,flolo.com,,David Flolo,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,heartutilities.com,,Scott Barry,Operation Manager,,campaign-P2,
contact is not a decision maker,hmcragg.com,,Krista Honsa,Chief Financial Officer,,campaign-P2,
contact is not a decision maker,trcinc.net,,Anthony Chavez,Chief Financial Officer,,P3-candidate,
contact is not a decision maker,solisusa.com,,Ron Gilcrease,VP Business Development,,P3-candidate,
contact is not a decision maker,alcatex.com,,Blake Tennant,Shop Manager,,P3-candidate,
contact is not a decision maker,maritimetechnicalservices.com,,Jenny Ratcliffe,Operations Manager,,P3-candidate,
contact is not a decision maker,jdcpowersystems.com,,Benton Freeman,VP of Industrial Sales,,P2-candidate,
contact is not a decision maker,jacksonelect.com,,Cody Owenby,Chief Financial Officer,,master-P2,
contact is not a decision maker,doleac.com,,Pete Butera,Project Manager,,master-P2,
contact is not a decision maker,awestenterprise.com,,Landon Dooley,CFO,,master-P2,
contact is not a decision maker,edgarelectricinc.com,,Brad Rogers,CFO,,master-P2,
contact is not a decision maker,florylineconstruction.com,,Aeron-James Grigg,CFO,,master-P2,
contact is not a decision maker,siebertelectric.com,,Damon Weber,CFO,,master-P2,
contact is not a decision maker,jmschaefer.com,,Phillip Criswell,Field Service Supervisor and Project Manager,,campaign-P2,
contact is not a decision maker,e-hazard.com,,Hb Design,Directeur general,,P3-candidate,
contact is not a decision maker,startechmarine.com,,Cody Jackson,HVAC Service Manager,,P3-candidate,
contact is not a decision maker,powerlineconsultantsllc.com,,Shelly Thomure,CFO,,master-P1,
contact is not a decision maker,horsepowerelectric.com,,Cedrick D.,Superintendente de operaciones,,master-P1,
contact is not a decision maker,elecpwr.com,,David Champine,Division Manager - Carolinas,,master-P2,
contact is not a decision maker,transformerservicesinc.com,,Rocio Rus,Business Manager,,master-P2,
contact is not a decision maker,vet-eps.com,,Sam Stone,San Diego Branch Manager,,master-P2,
contact is not a decision maker,wjbe.com,,Katie Buchert,Chief Financial Officer,,master-P1,
contact is not a decision maker,gigerich.net,,Scott Brown,VP,,master-P2,
contact is not a decision maker,westmorelandelectric.com,,Mike Errett,Superintendent,,master-P2,
contact is not a decision maker,underpowercorp.com,,Rafael Nin Jr,Warehouse Supervisor,,master-P2,
contact is not a decision maker,plc-inc.com,,Garrett McGinnity,General Foreman,,master-P2,
contact is not a decision maker,allsouthlightningprotection.com,,Angela Reimer,CFO,,master-P2,
contact is not a decision maker,challengerdrilling.com,,Reynaldo Balbuena,Night Manager,,P3-candidate,
contact is not a decision maker,challengerdrilling.com,,Susan Lutz,"Director, CFO",,P3-candidate,
contact is not a decision maker,broncoelectric.com,,Bret Smith,Chief Operations Officer,,master-DQ,
contact is not a decision maker,future-controls.com,,Michael Hansen,Mechanical contractor,,master-DQ,
contact is not a decision maker,hoekstraelectric.com,,Alex Sale,Director of Operations,,master-DQ,
contact is not a decision maker,emtelectric.com,,Elizabeth Johnson,CFO,,master-DQ,
contact is not a decision maker,emtelectric.com,,Brian Johnson,CFO,,master-DQ,
contact is not a decision maker,mmelectriccfl.com,,Betty Gomez,Chief Financial Officer,,master-DQ,
contact is not a decision maker,bertke.com,,Kathy Jewell,Chief Financial Officer,,master-DQ,
contact is not a decision maker,benfieldinc.com,,Ken Arnold,CFO,,master-DQ,
contact is not a decision maker,bb-electric.com,,Jon Blackstone,CFO,,master-DQ,
contact is not a decision maker,four-gen.com,,Monique Ruiz,Chief Financial Officer,,master-DQ,
contact is not a decision maker,four-gen.com,,Judy Evans,Chief Financial Officer,,master-DQ,
contact is not a decision maker,perreca.com,,Charles Tallardy,Chairman,,master-DQ,
contact is not a decision maker,thegarickgroup.com,,Cesar Porras,Chief Financial Officer,,master-DQ,
contact is not a decision maker,zellerelectriccorp.com,,Laura Jeam Zeller,Chief Financial Officer,,master-DQ,
contact is not a decision maker,utilityconstructionco.com,,Jess Daniels,Project Director,,master-P3,
contact is not a decision maker,basselectric.net,,Jeffrey Yee,Project Manager,,master-P3,
contact is not a decision maker,shelleyelectric.com,,Greg Rowe,Chief Financial Officer,,master-P3,
contact is not a decision maker,lbelectricco.com,,Dena Baptiste,CFO,,master-P3,
contact is not a decision maker,ipcosc.com,,Stephanie Byrd,Chief Financial Officer,,master-P3,
contact is not a decision maker,atekelectric.com,,Stephanie Ashby,Customer Quality Engineer,,master-P3,
contact is not a decision maker,sturmelectric.com,,Tim Kinman,Chief Financial Officer,,master-P3,
contact is not a decision maker,pcescorp.com,,Donrick Dejoshua,G M,,master-P3,
contact is not a decision maker,worchelectric.com,,Ali Laino,Assistant Manager,,master-P3,
contact is not a decision maker,worchelectric.com,,Andrea G. Lanzilotti,Chief Financial Officer,,master-P3,
contact is not a decision maker,asfelectric.net,,Andy Ferrari,Chairman,,master-P3,
contact is not a decision maker,astuteng.com,,Vibha Jasani,Chief Financial Officer,,master-P3,
contact is not a decision maker,rtfps.net,,Cory Martin,CFO,,master-P3,
contact is not a decision maker,cciarkansas.net,,Austin Rhine,Warehouse Manager and Purchasing Agent,,master-P3,
contact is not a decision maker,decofsc.com,,Viorica Ristea,Manager,,master-P3,
contact is not a decision maker,bore-tech.net,,Wendy Cabral,"Chief Financial Officer, Director",,valDQ-review,
contact is not a decision maker,westhueselectric.com,,Andrew Westhues,CFO,,master-P2,
contact is not a decision maker,acelectricalsystems.com,,Matt Burks,Service Manager,,master-P2,
contact is not a decision maker,totalenergysolutions.com,,Ann Ledoux Hebert,Chief Financial Officer,,master-P2,
contact is not a decision maker,nai-ames.com,,Chris Burkhart,Project Manager,,master-P2,
contact is not a decision maker,ceymglobal.com,,Juan Eduardo Arevalo Mosquera,autonomo,,master-DQ,
contact is not a decision maker,doctorelectric.net,,Kayann B. Brookins,CFO,,master-DQ,
contact is not a decision maker,electriciansinc.com,,Ka Tang,Chief Financial Officer,,master-DQ,
contact is not a decision maker,aerosenelectrical.com,,Leon Rosen,electrical contractor,,master-DQ,
contact is not a decision maker,prismecs.com,,Patricia Waters,CFO,,master-DQ,
contact is not a decision maker,matcoelectric.com,,Joshua Lupo,General Foreman and Project Manager,,master-DQ,
contact is not a decision maker,matcoelectric.com,,Santo Caracciolo,Chief Financial Officer,,master-DQ,
contact is not a decision maker,trustworthyelectric.net,,Semira Jones,Operations and Marketing Administrator,,master-DQ,
contact is not a decision maker,sparksinc.com,,Hugh Johnson,Chief Financial Officer,,master-DQ,
contact is not a decision maker,hollandindustrial.com,,Butch Holland,Chairman,,master-P3,
contact is not a decision maker,rubicontechservices.com,,Christopher Donaghy,Regional Manager,,master-P3,
contact is not a decision maker,cpteng.com,,Adam Weisel,Chief Financial Officer,,master-P3,
contact is not a decision maker,bicelectrics.com,,Osviel Cabrera,Electrical Engineer,,master-P3,
contact is not a decision maker,mccroryelec.com,,Tony Brandon,General Foreman,,master-P3,
contact is not a decision maker,pennohioelectric.com,,Chris O'Brien,Senior Project Engineer,,master-P3,
contact is not a decision maker,kullc.net,,Shari D Crane,CFO,,master-P3,
contact is not a decision maker,asbenergy.com,,Bobby Walters,Director,,master-P3,
contact is not a decision maker,asbenergy.com,,Jamie J. Thompson,Chief Financial Officer,,master-P3,
contact is not a decision maker,pcsbr.com,,Joneah Johnson,Chief Financial Officer,,master-P3,
contact is not a decision maker,starlinkconstruction.com,,Mike Childers,CFO,,valDQ-review,
contact is not a decision maker,clearwaterinc.net,,Alexis Jonas,Marketing,,valDQ-review,
contact is not a decision maker,thwindersllc.com,,Rolando Jaramillo,Chief Financial Officer,,valDQ-review,
contact is not a decision maker,undergroundutilitiesinc.com,,Tom Mclaughlin,Chief Financial Officer,,valDQ-review,
contact is not a decision maker,allanbritewayutility.com,,William Brown,Chief Financial Officer,,master-P2,
contact is not a decision maker,kellycos.com,,Shawn Lewis,Safety Director,,master-P2,
contact is not a decision maker,kellycos.com,,Kevin Trippe,Pre Construction Director,,master-P2,
contact is not a decision maker,sandjelectric.com,,Sai Garela,Chief Estimator and Project Executive,,master-P2,
contact is not a decision maker,dubakelectrical.com,,Peter Brennan,Chief Financial Officer,,master-P2,
contact is not a decision maker,4standardelectric.com,,Paula Keen,CFO,,master-P2,
contact is not a decision maker,proelectricinc.net,,Walter Walker,Electrical Contractor,,master-P2,
contact is not a decision maker,cirelectric.com,,Ryan Short,Foreman,,master-P2,
contact is not a decision maker,ecahq.com,,Misty Lorton,Chief Financial Officer,,master-DQ,
contact is not a decision maker,icklerelectric.com,,Rick Kail,CFO,,master-DQ,
contact is not a decision maker,light-serve.com,,Jason Brafford,Chief Financial Officer,,master-DQ,
contact is not a decision maker,ppcwa.com,,Dan Holmen,CFO,,master-DQ,
contact is not a decision maker,allcomelectric.com,,Susan Neil,CFO,,master-DQ,
contact is not a decision maker,jfcelectric.com,,Nicky Clark,Chief Financial Officer,,master-DQ,
contact is not a decision maker,guardianmfg.com,,Kurt Mollnow,Chief Financial Officer,,master-DQ,
contact is not a decision maker,revolt-electric.com,,Jay Kats,Executive Project Manager,,master-DQ,
contact is not a decision maker,powercommconstruction.com,,Glenn Charlesworth,CFO,,master-DQ,
contact is not a decision maker,prometers.com,,Chad Doerhoff,Chief Financial Officer,,master-DQ,
contact is not a decision maker,custautocont.com,,Mike Wattigny,Division Manager,,master-DQ,
contact is not a decision maker,jolmautilities.com,,Benjamin Prissel,Chief Financial Officer,,master-DQ,
contact is not a decision maker,rizzoelectric.com,,Frank Rizzo,boss,,master-DQ,
contact is not a decision maker,stfranciselectric.com,,Michael Delgado,Field Operations Manager,,master-DQ,
contact is not a decision maker,stfranciselectric.com,,Karla Brauer,Chief Financial Officer,,master-DQ,
contact is not a decision maker,victorypowerlineservices.com,,Brooks Boyle,Job Site Manager,,master-DQ,
contact is not a decision maker,lakewoodelectriccompany.com,,Douglas Aeschleman,Chief Financial Officer,,master-P3,
contact is not a decision maker,daley-electric.com,,Sean Dunn,Electrical Estimator and Project Manager,,master-P3,
contact is not a decision maker,bjelectrical.com,,Gary Lee Janzen,Chairman,,master-P3,
contact is not a decision maker,tripowerelectricinc.com,,Anita Staley,CFO,,master-P3,
contact is not a decision maker,volelectric.com,,Gene Carmichael,Chairman,,master-P3,
contact is not a decision maker,foygroup.net,,Adam VanGrinsven,Chief Financial Officer,,master-P3,
contact is not a decision maker,omniinst.com,,Stephen Tallo,Project Manager,,master-P3,
contact is not a decision maker,omniinst.com,,Rick Canonaco,Chief Financial Officer,,master-P3,
contact is not a decision maker,avail-engineering.com,,David Rangel,General Foreman,,master-P3,
contact is not a decision maker,emerald-standard.com,,Rogelio Pombrol,Chairman,,master-P3,
contact is not a decision maker,powertemp.com,,Ann Ledoux Hebert,CFO,,master-P3,
contact is not a decision maker,diversitec.com,,Adrian Snell,Cfo,,master-P3,
contact is not a decision maker,olsenelectric.net,,Greta Plourd,CFO,,master-P3,
contact is not a decision maker,heckerelectric.com,,Grant Burke,Project Manager,,master-P3,
contact is not a decision maker,bonnerelectric.com,,Brendan Marquis,Service Manager,,master-P3,
contact is not a decision maker,chargetronix.com,,Xavier Landavazo,[unknown],,valDQ-review,
contact is not a decision maker,gravitytechnologies.com,,Oz Nusem,"Founding Engineer, Head of Client and Platform Services",,valDQ-review,
contact is not a decision maker,primaryus.com,,Arthur Hernandez,Manager,,master-P1,
contact is not a decision maker,nabcoelectric.com,,Eddie Davidson,Chief Financial Officer,,master-P2,
contact is not a decision maker,hargroveelectric.com,,Matt Powell,Foreman,,master-P2,
contact is not a decision maker,willenelectric.com,,Dan Shine,Retired,,master-P2,
contact is not a decision maker,newdirectionutilities.com,,Tyler Scott,Director of Operations - UG Distribution and Civil Construction Divisions,,master-P2,
contact is not a decision maker,heicontractors.com,,Gregg Nadess,Chief Financial Officer,,master-P2,
contact is not a decision maker,leerelectric.com,,Fred Miller,General Superintendent,,master-P2,
contact is not a decision maker,eeengineering.org,,Thierry States (Thierry Julio Epassa),Director Of Electrical Engineering,,master-P2,
contact is not a decision maker,hsitx.com,,Jacob Mcneil,Chief Financial Officer,,master-P2,
contact is not a decision maker,aerones.com,,Janis Putrams,Chief Technology Officer,,P2-candidate,
contact is not a decision maker,aerones.com,,Martins Vaivods,CFO,,P2-candidate,
contact is not a decision maker,hawkeye-electric.com,,Liz Anderson,CFO,,master-DQ,
contact is not a decision maker,palmierielectric.com,,Raymond Palmieri,Pres.,,master-DQ,
contact is not a decision maker,tri-mgroup.com,,James T. Horn,Chairman,,master-DQ,
contact is not a decision maker,maddash.com,,Karin Meining,CFO,,master-DQ,
contact is not a decision maker,cbehq.com,,Michael Jury,Division Manager,,master-DQ,
contact is not a decision maker,bryanelectricinc.com,,Steve Morris,Chief Financial Officer,,master-DQ,
contact is not a decision maker,dseelectric.com,,Carlos Estrada,Warehouse Team Member,,master-DQ,
contact is not a decision maker,hickselectric.net,,Nick Green,Project and Purchasing and Permitting and Warehouse Manager,,master-DQ,
contact is not a decision maker,solarelectric.org,,Gaetano Cuccio,Electrical Superintendent,,master-DQ,
contact is not a decision maker,northlineutilitiesllc.com,,Lori Mayott,Chief Financial Officer,,master-DQ,
contact is not a decision maker,universalblowerpac.com,,Al Zinkovich,Cfo,,master-DQ,
contact is not a decision maker,centripump.com,,Paul Strouhal,Chief Financial Officer,,master-DQ,
contact is not a decision maker,pvicm.com,,Diane Gallagher,Director of Administrative Operations,,master-DQ,
contact is not a decision maker,swanelectric.com,,Tim Stolicker,Business Development Director,,master-P3,
contact is not a decision maker,westernmountaininc.com,,Arika Phipps,HBIC,,master-P3,
contact is not a decision maker,allphasepl.com,,Andrew Yetter,Electrical Project Manager,,master-P3,
contact is not a decision maker,iriss.com,,Nyare Fauste,Proprietaire,,master-P3,
contact is not a decision maker,iriss.com,,Peter Anderson,CFO,,master-P3,
contact is not a decision maker,coltinelectric.com,,Alan Rodgers,Project Engineer,,master-P3,
contact is not a decision maker,kaiserelectric.com,,Mike Smegner,Chief Financial Officer,,master-P3,
contact is not a decision maker,tomeyelectric.com,,Jp Taylor,Superintendent,,master-P3,
contact is not a decision maker,southwestelectric.com,,Laura Malm,CFO,,master-P3,
contact is not a decision maker,graceport.com,,Drew Allen,Learning Officer,,master-P3,
contact is not a decision maker,graceport.com,,Scott Allen,Director of Operations,,master-P3,
contact is not a decision maker,highmarkerectors.com,,Shane Crawford,Superintendent,,master-P3,
contact is not a decision maker,mcinnisco.com,,Kevin Harthcock,Estimator and Project Manager,,master-P3,
contact is not a decision maker,hinsdaleelectric.com,,Steve Tagliere,Project Manager,,master-P3,
contact is not a decision maker,everywattmatters.com,,Gary Lenz,Director,,master-P3,
contact is not a decision maker,everywattmatters.com,,Leo Flores,UK Director,,master-P3,
contact is not a decision maker,eesc-ct.com,,John Taylor,Chairman,,master-P3,
contact is not a decision maker,superiorelectricinc.com,,Michael Hull,Electrician,,master-P3,
