company,domain,headquarters,employees,ownership,year_founded,description,source_list,flag
Guarantee Electrical Company,geco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
B&B Electric Inc.,bandbelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"PerLectric, Inc.",perlectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Werner Electric,onewerner.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Collins Electrical,collinsmn.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"City Light & Power, Inc.",clpinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Grp|Wegman,grpwegman.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
NEAD Organization,neadorganization.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
High Voltage Maintenance,hvmcorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Decker Electric,deckerelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
NorthEast Electrical,needco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
De-Cal Mechanical Contractors,de-cal.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Holaday-Parks, Inc.",holadayparks.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Baker Electric-Iowa,bakerelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Staff Electric Co.,staffelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
McDonald Electric Corporation,mcdonaldcorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Bodine Electric of Decatur,bodinedecatur.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Frischhertz Electric Company, Inc.",frischhertz.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Broadway Electric Service Company LLC (BESCO),besco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,55X5CPA6",
State Electric Corporation,stateelectriccorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Muska Companies,muskacompanies.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"Edward G. Sawyer Co., Inc.",egsawyer.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Gephart Electric,gephartelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Lecom Utility Contractors,lecomutility.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Kelso-Burnett Co.,kelso-burnett.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"MZI Group, Inc.",mzigroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Cal Coast Telecom,cctcom.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
SECO Energy,secoenergy.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Christenson Electric,christenson.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
Horwitz Inc,horwitzllc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Titan Electric Inc,titanelectric.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
B&G Electrical Contractors of New York,bgelectrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
VFC Group,vfclp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
CBF Electric & Data,cbfelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Wm. T. Spaeder Company,spaeder.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Bruce & Merrilees,bruceandmerrilees.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Automation & Electronics, Inc.",autoelect.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Beltline Electric,beltlineelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
CH Reynolds,chreynolds.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Hi-Tech Electric Company,hi-techelectric.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Capital Electric Line Builders,capitalelectriclinebuilders.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Skyline Construction,skylineconstruction.build,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Rocky Mountain Contractors,rockymountaincontractors.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Elcor Electric, Inc.",elcorelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Air Systems, Inc.",airsystemsinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
1901 INC.,1901inc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"John A. Penney Company, Inc.",johnpenney.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Outsource Utility Contractor Corporation,outsourceucc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ANDA Networks,telco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Standard Electric,standardelectricco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
EC Source Services,ecsourceservices.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Town of Mansfield, MA",mansfieldma.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Dynalectric Washington, DC",dynalectric-dc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Verde Electric Corporation,verdeelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
National Technologies (NTI),ntitech.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sletten Construction Company,slettencompanies.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Thompson Electric, Inc",thompsonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
KDC Inc.,kdcinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sequoyah Electric & Network Services,sequoyah.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Harlan Electric Company,harlanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"J. Ranck Electric, Inc.",jranck.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Mills Electric,millselectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"ERMCO, Inc.",ermco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Maron Electric Company,maronelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Gilston Electrical Contracting LLC,gilstonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
MDE Electric Company,mde-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Marking Services, Inc",markserv.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Center Line Electric, Inc.",centerline-elec.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
BK Technologies Inc.,bktechnologies.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Billitier Electric, Inc",billitierelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Scott Electric Company,scott-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Schuler-Haas Electric Corp.,schuler-haas.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
A-C Electric Company,a-celectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Atlas Acon Electric Service Corp.,atlasacon.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Miller Electrical Contractors,millerelectrical.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Winger Companies,wingercompanies.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Advanced Electrical Systems, Inc.",aeslou.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Ready Electric Company, Inc.",readyelec.com,"Louisville, KY",312,Bootstrapped,1949,"Ready Electric Company, Inc. provides design-build electrical construction and technology services for business and institutional clients, focusing on BIM modeling, prefabrication, power distribution, low-voltage systems, and 24/7 service. They serve sectors such as healthcare, industrial, institutional, sports venues and data centers, and they claim faster, more accurate installations through in-house prefabrication and geospatial/Trimble technology and by operating as an ESOP.",NEJPTRNT,
Mill Plain Electric,mp-electric.com,"Vancouver, WA",309,Bootstrapped,1979,"Mill Plain Electric is a full-service electrical contractor specializing in traffic signals and roadway lighting while also providing industrial, commercial, healthcare, and design-build electrical services to business and government customers; they emphasize long-term customer relationships, a well-trained staff, and multi-decade experience.",NEJPTRNT,
Kroeschell Inc.,kroeschell.com,"Arlington Heights, IL",307,Bootstrapped,1879,"Kroeschell Inc. provides design-build MEP engineering and turnkey facility services for institutional and commercial clients, offering project delivery (general contracting and MEP design-build) plus ongoing maintenance and operations for critical building systems. They serve large corporations, healthcare, government, education, industrial and data center clients and position themselves as an experienced, employee-owned facilities engineering and operations partner focused on proactive maintenance, safety and sustainability.",NEJPTRNT,
"LVC Companies, Inc.",lvcinc.com,"Golden Valley, MN",303,Bootstrapped,2011,"LVC Companies provides design, installation, integration, inspection, maintenance, monitoring, and emergency service for fire protection, life-safety, security, and communications systems for commercial, industrial, government, education, healthcare, and property management customers. They position themselves as simplifying complex technology and offering 24-hour service while emphasizing safety, connectivity, and customer-focused solutions.","NEJPTRNT,B2P5ZX2E",
All-Pro Electric,allproelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Revere Control Systems,reverecontrol.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Uihlein Electric,uihleinelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Mid-West Electric,mid-westelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Robinson Electric,robinsonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Frey Electric Construction Co.,frey-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Anderson Howard,aandh.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Young Electric and Communications,youngelec.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Control Solutions, Inc.",controlsolutionsinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Fred Geller Electrical, Inc.",fgeusa.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Titan Systems,titanlv.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sierra Electric,sierraelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Superior Electric Great Lakes Company,seglc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Anderson Electric, Inc",anderson-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Xtreme Powerline Construction,xtremepowerline.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Faith Electric, LLC",faithelectricllc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Charge, Inc.",chargeepc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
H.B. Frazer Company,hbfrazer.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Williams Electric Company,williamselectriccompany.org,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Staco Electric Construction Co,stacoelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Total Mechanical,total-mechanical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Comet Electric,cometelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Gordon L. Seaman, Inc.",gordonlseaman.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Preferred Electric,preferred-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Ferndale Electric Company, Inc.",ferndale-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
SRT Communications,srt.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Allran Electric,nyallran.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Intertech Mechanical Services,intertechmechanical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The L.E. Myers Co.,lemyers.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Crawford Company,crawford-company.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Nitro Construction Services, Inc.",nitroconstructionservices.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Miller Electric Company of Omaha,millerelect.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
NG Gilbert Services,nggilbert.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ABcom LLC,abcomllc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"T&R Electric Supply Company, Inc.",t-r.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
P&E Constructors,peconstruct.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"United Electric Company, Inc.",unitedelec.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
John Burns Construction Company,jbconstructionco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"H & L Electric, Inc.",hlelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Kleinknecht Electric Company,kecny.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Aldon Electric, Inc.",aldonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The Morse Group,themorsegroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
"Action Electric Co., Inc.",actioncontractors.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
AP4 Group,ap4.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Tore Electric Company,toreelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Ozarks Electric Cooperative,ozarksecc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Robert B. Samuels,rbsamuels.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Furness Electric,furnesselectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Appellation Construction Services, Llc",appellationconstruction.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Malek Inc.,malekinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"KLA Laboratories, Inc.",klalabs.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Valley Electric Company,velectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Quality Electric Inc.,qeidaho.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Skyline Electric Company,skyline.us,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
HMT Electric Inc.,hmtelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Melton Electrical and Structured Cabling,meltonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Quality Sound,qualitysound.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"M&L Electrical, Inc.",mlelectrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,55X5CPA6",
Miller-Eads Company,miller-eads.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sidney Electric,sidneyelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"McCrossin, Inc.",mccrossin.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Elecnor Hawkeye,elecnorhawkeye.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
J.F. White Contracting Co.,jfwhite.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Dynalectric San Diego,dyna-sd.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
TouchTel Electric & Datacom,ttedi.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Block Electric Company, Inc.",blockelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sullivan & McLaughlin,sullymac.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Integrity Networks, Inc.",integritynetworksinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Asr Electrical,asrelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Birdi Systems, Inc.",birdi-inc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Pritchard Electric,pritchardelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Modern Electric,modern-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Precision Electric Group,precisionelectricgroup.com,"Redmond, WA",214,Bootstrapped,2004,"Precision Electric Group provides electrical construction and contracting services for commercial and institutional clients, covering ground-up projects, build-outs, renovations, installations, design-build, and maintenance; they emphasize delivering projects on time and on budget, flexibility to work around client schedules, and acting as an ongoing maintenance partner.",NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Standard Electric,standardelectric.com,"Wilmington, MA",211,Private Subsidiary,1952,"Standard Electric is a distributor and retailer of electrical and lighting supplies serving trade professionals and business customers as well as retail shoppers; they offer a broad product catalog (lamps, ballasts, conduit, wiring, tools, batteries) through an online ordering platform with business account features, branch pickup, and customer support.",NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Escoe Industrial,escoeindustrial.com,"Georgia, USA",210,Bootstrapped,[unknown],"Escoe Industrial provides industrial and commercial maintenance and fabrication services to manufacturing and commercial operations. They offer custom metal fabrication and welding, electrical installations and controls, and mechanical services including millwright work and plant relocations. They market themselves as a 24-hour service provider with broad shop capabilities, trained staff, and an emphasis on efficiency and fair pricing.",NEJPTRNT,
Mark One Electric,markone.com,"Kansas City, MO",208,Bootstrapped,1974,"Mark One Electric provides advanced electrical knowledge, experience, and service to general contractors, developers, facility managers, and business owners across the Midwest region. Their offerings include power, data, lighting, and renewable energy solutions. They position themselves as Kansas City's most trusted electrical partner, highlighting their expertise, safety record, and ability to handle various project types in the sports, infrastructure, entertainment, civic, data center, industrial, healthcare, and education sectors.","NEJPTRNT,B2P5ZX2E",
Wasatch Electric,wasatchelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
Paganini Electric Corporation,pagcos.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Brooks Berry Haynie & Associates, Inc.",bbhelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"B & B Electric, Inc",bbelectricinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Dagle Electrical Construction Corp,deccorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Kasselman Electric Co., Inc.",kasselmanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Bombard Electric, LLC",bombardelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Contra Costa Electric, Inc.",ccelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
M B Herzog Electric,herzogelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Binsky Snyder,binsky.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Morton Electric, Inc.",mortonelectricinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Atlas Industrial Contractors,atlascos.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Speelman Electric, Inc.",speelmanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
TC Electric,tcelect.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"TTR Substations, Inc.",ttrsubstations.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Medina Electric, LLC.",medinaelectric.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"TriNova, Inc.",trinovainc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Shade Tree,stsco.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"UHL Company, Inc.",uhlcompany.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Fontanesi and Kann Company,ezhvac.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"BCU Electric, Inc.",bcuelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Electric Company of Omaha, Inc.",ecomaha.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Corporate Electric Group, Inc.",corporateelectricgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
American Electric Company LLC,americanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Cannon Construction Inc,cannongroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
GrowthZone AMS,growthzone.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Capitol City Electric,capitolcityelectricinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Kirby Electric Inc.,kirbyelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
GSI,securityandnetworks.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ADCO Electrical Corp.,adcoonline.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Premier Electrical Corporation,premiercorp.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
"BEI Construction, Inc.",beiconstruction.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sylvan,sylvan-inc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Cogburn Bros. Inc,cogburnbros.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Einheit Electric Construction Co.,einheitelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Island Computer Products, Inc (Icp)",icpcorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Ostrow Electric Co,ostrowelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Hyre Electric Co,emcorhyre.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Walton Electric Corporation,waltonelectriccorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
EMCOR Services Combustioneer,combustioneer.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Valiant Energy Service,valiantenergyservice.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
DualTemp Clauger,dualtempclauger.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ConvergeOne (C1),onec1.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"LAN-TEL Communications, Inc.",lan-tel.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Industrial Contractors, Inc.",icinorthdakota.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Star-Lo Electric, Inc.",star-lo.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Walker Telecomm Inc.,walkertelecomm.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Utilitra,utilitra.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Windsor Electric Company Inc,windsorelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"PM Contracting, Inc.",pmc-kc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Ullman Electric,ullmanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"VEC, Inc.",vecohio.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Shaw Electric Co.,shawelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Thayer Power and Communication Line Construction Co., LLC",thayerpc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Fountain Construction Company, Inc.",fountainconstruction.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Phalcon,phalconusa.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Johnson Contractors, Inc.",johnsoncont.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Strategic Mechanical, Inc.",strategicmechanical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Syserco,syserco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Armour & Sons Electric,armourandsons.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
A. Murphy Inc.,amurphy.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
