company,domain,bucket,campaign,priority,wave,had_email_before,had_phone_before,enriched,has_mobile,source,status
Jack Hornsby Electric,jackhornsbyelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
James F Volpe Electrical Contg,jamesfvolpe.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Joyce Electrical Inc,joyceelectrical.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Kanta Electric Corp.,kantaelectric.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Kent Electric,kentelectricinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Kimbrell Electric,kimbrellelectricaz.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Laibe Electric/Technology,laibe.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Landmark Electric Inc,landmarkelectricinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,no verified email
Lc Electric Inc,lcelectricinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; non-owner title (VP Ops)
"Lea Electric, L.L.C.",leaelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Linear Electric INC,linearelec.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
LogicLamp,logiclamp.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Longchamps Electric,longchampselectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (VP)
Lynco Electric Co. Inc.,lyncoelectric.net,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no provider coverage
MCR Oil and Gas,mcroilandgas.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,office line only
"MacLean-Riggins, Inc.",macleanriggins.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
"Maddox Electric Company, LLC",mecofl.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (VP)
Master Rig International,masterrig.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Mb Electric Inc,mbelectricians.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,,,inven,no coverage
Mid-America Services,midamserv.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"MidStates Energy Co, LLC",msenergy.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Mojave Electric,mojaveelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title returned (General Foreman)
Moody's Electric,moodyselectricinc.godaddysites.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,,,inven,"bad match - returned a GoDaddy employee, site is a godaddysites.com subdomain"
Native Sons LTD.,nativesons.org,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (2 contacts at domain)
Neo Electrical Solutions,neoelectrical.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; non-owner title (VP)
"North Cob Electrical Services, Inc",ncobbelectrical.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Olympic Electric,olympicelectric.net,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
P.S. Services,psserv.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Palman Electric, Inc.",palmanelectric.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match (8 contacts on file)
Palos Electric Co,paloselectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title returned (Director of Operations)
Paulson Electric Inc.,paulsonelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Performance Electrical,performanceelectricalllc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; not owner-level title
"Pevarnik Bros., INC.",pevarnik.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (project manager)
"Pfeiffer Electric Company, Inc",pfeifferelectric.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match
"Post Electric, Inc.",postelectric.net,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Precision Electric Inc. Las Vegas,pei-electric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,not owner-level title (VP)
Pylman Power Inc,pylmanpower.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,,,inven,no owner-title match (2 contacts on file)
RCD Inc. Electrical Services,rcdelectric.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven,office line only; no verified email
RMS Electric,surge11.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"RMS Electrical Services, Inc.",rmselectricalinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (5 contacts at domain)
Radec Corp,radec.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (field manager)
Ratliff Electric Co,ratliffelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
"Riley Electric Company, INC.",rileyelectricco.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Rodick Electrical Services Corp.,rodickelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (7 contacts at domain)
"S-Con Services, Inc.",sconservices.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (manager)
Sawyer Services,sawyer-services.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
Servitech Inc.,servitechinc.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Skiles Electric,skileselectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (1 contact at domain)
"Specialized Automation Services, LLC",sas-llc.net,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (division manager)
Striano Electric CO INC,strianoelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title returned (Project Manager)
Sun Electric,sunelectricnd.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no coverage
Systems Electrical Services Inc.,systemselectricalservices.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (1 contact at domain)
"TCL Electrical & Lighting, Inc.",tclelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (12 contacts on file)
TEC Electric,tec-electric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Techline Sports Lighting,sportlighting.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
"The Retrofit Companies, Inc.",retrofitcompanies.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Tri-Area Electrical Construction, Inc.",tri-areaelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Vaughn Electric Company, Inc.",vaughnelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Via Electric CO,viaelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
Victory Lighting Services Inc.,victorylightingservices.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Votaw Electric Inc,votawelectric.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Weinstein Electric Co,weinsteinelec.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
"Westpoint Electric, INC.",westpointelectricinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,office line only
iEG - Industrial Electrical Group,iegusa.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,not owner-level title (Branch Manager)
Indeco-Industrial Electric Company,indecousa.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (1 contact on file)
Ocean Coast Electric LLC,oceancoastelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
Shelley's Electric,shelleyselectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
Terrance Electric and Technology Co.,terranceelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,office line only; name unresolved in provider data
"Crown Electric, Inc.",crownelectricinc.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Cannon & Wendt Electric,cannon-wendt.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Crawford Electric LLC,crawford-electric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,,,inven,no owner-title match
Dan Freitas Electric Inc,danfreitaselectric.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (4 contacts at domain)
"Eastern Group, LLC.",easternelectricllc.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match (1 contact on file)
Engineered Electrical Systems (EES),eesystemsusa.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"GDC Industrial, Inc *",groupgdc.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Hawkeye Construction, LLC",hawkeye-construction.com,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,verified emails may belong to other people at domain - verify
Jw Electric,jwelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Lasco Electrical Services, LLC",lascoelectrical.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,non-owner title returned (Operations Manager); no verified email
Qd Electrical Services,qdelectrical.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Shamrock Services, LLC Dublin, GA",shamrockservices.net,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Solution Services Corp.,solutionservicescorp.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; non-owner title (project manager)
"Specialty Groups, Inc",sgiwv.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match
Twin Electric,twinelectricltd.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,email only - no phone
RCG International,rcgint.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"office line only; Lebanon-based record, likely wrong entity"
"Amp Electrical, Inc",ampelectricalinc.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
CR Electric Company,crelectriccompany.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Chapman Electrical Contracting,chapman-electric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven,email only - no phone
Chicago Power Inc,chicagopcinc.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Kalish Electric Co,kalishelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,,,inven,no owner-title match (1 contact on file)
Leasor Electric,leasorelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Lowe North Construction,lowe-north.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
MVS Technologies,mvs-tech.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no phone
Neutral Electric Company LLC,neutralcompanies.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
The J.L. Taylor Company Inc.,jltaylorcompany.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,non-owner title returned (Vice President)
Branham Electric Corp,branhamelectriccorp.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"Comletric, Inc",comletric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Craft Electric Co., Inc.",craft-electric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (4 contacts on file)
Flying X Electric,flyingxelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match
"L & B Electrical Contractors, INC.",lbelectric.net,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Lights Inc,lightsinc.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,no verified email
Mikewill Inc,mikewill.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,,,inven,no owner-title match (2 contacts on file)
Quality Electrical Systems Inc,qesonline.net,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Watermark Electric,watermarkelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
West Virginia Electric,wvelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (2 contacts at domain)
Wuest Electric Co,wuestelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Associated Electro-Mechanics,aemservices.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Beaudry Electric Motors & Controls, Inc.",bemotors.net,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Cole Tech, Inc.",coleelectricms.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Electric Motor Shop of Wake Forest,electricmotorshopnc.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,,,inven,"title_filter_miss: 15 contacts, none matched owner titles"
"Eurton Electric Company, Inc.",eurtonelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Gulf Coast Electric Motor Service, Inc.",gcemsinc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,office line only
"Industrial Electric Motor Service, Inc.",iemsbr.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"bad match - returned an India-based self-employed profile, not the owner"
Industrial Electro Mechanics,iemsavannah.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Industrial Maintenance and Engineering,ime-corp.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Lake City Electric,lakecityelectric.net,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Lewis Electric Motor Repair,lewismotorrepair.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Mohler Technology, Inc.",mohler.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (18 contacts at domain)
Porters Electric Motor Service Inc,porterselectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (1 contact on file)
Precision P.S.I. LLC.,precision-psi.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Rome Electric Motor Works Inc,romeelectric.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Whelco Industrial,whelco.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match (3 contacts at domain)
White Armature Works,whitearmatureworks.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
York Repair Inc.,yorkrepair.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
riemr,riemr.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"A & H Armature Works, Inc.",a-harmature.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
AGTServices Inc,agtservices.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,,,inven,no owner-title match (17 contacts on file)
AVS Engineering,avsengineering.net,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,"likely wrong-person match (India-based, Self Employed)"
Advanced Mechanical Enterprises/AME,amesolutions.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Alert Analytical,alertanalytical.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (1 contact at domain)
Anchor Electric Motors,anchorelectricmotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,office line only
Apparatus Repair & Engineering,apprep.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,no verified email
Balance Vibration Technologies Inc.,balancevibration.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Baseload Power,baseloadfirst.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (4 contacts at domain)
"Bradleys, Inc.",bradleysmotors.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
City Machine Technologies,cmtcompanies.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title returned (Vice President)
"Cleveland Pump Repair & Services, LLC.",clevelandpumprepair.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Coastal Industrial Service,coastalindustrialservice.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
"Daman Industrial Services, Inc.",damanindustrial.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (7 contacts on file)
Dreisilker Electric Motors Inc.,dreisilker.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Dynamic Motions Inc,dynamicmotions.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"Electric Motor & Contracting Co., Inc",emc-co.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"office line only; Myanmar-located record, verify identity"
"EnVibe, Inc.",envibe.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Energy Resources Group, Inc.",energyresourcesgroup.us,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Failure Prevention Associates, LLC",failureprevention.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Houston Dynamic Service,houstondynamic.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven,ok
"IPS Pump Services, Inc.",ipspumpservice.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Industrial Pump and Motor Repair, Ltd.",industrialpumpandmotor.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Janda Motor Services,janda.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"bad match - returned an Indonesia-based profile, not the US company owner"
"Krauth Electric Co., Inc.",krauthelectric.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven,office line only
Lewis Electric Motors Inc,lewiselectricmotors.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no provider coverage
MMC Inc.,aboutmmc.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
"Machinery Maintenance Rebuilders, Inc.",mmrservice.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven,ok
"Maintenance Technologies International, LLC",mtillc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Mid-Ohio Electric CO INC,mid-ohioelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Motor and Gear Engineering,motorgearengineer.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Prime Electric Motors Inc,primeacdcmotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Pro-Pump, Inc.",pro-pump.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (3 contacts at domain)
"Rayker Mechanical Services, LLC.",raykermechanicalservices.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (5 contacts on file)
Reeds Cleaning Service Inc,reedserv.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,,,inven,no title match
Rem Industrial,remisi.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Rotating Equipment Specialists, LLC",rotatingequip.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (5 contacts at domain)
Shoemaker Industrial Solutions,shoemakerindustrial.com,S7,Motor & Generator Companies,campaign-P3,CAMPAIGN,,,,,inven,no owner-title match (2 contacts on file)
"Sidewinders, LLC",sidewindersllc.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Smith Electric Motor Service,smithelectricmotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"Southern Winding Service, INC",southernwinding.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Specialty Rotating Equipment Repair, Inc.",specialtyrer.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title (VP)
"The Balancing Company, Inc.",balco.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
"Tremor Vibration Services, LLC.",tremorvibration.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Troy Industrial Solutions,troyindustrialsolutions.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Turbine Diagnostic Services, Inc.",turbinedoctor.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Vi-Tech,vitech-us.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,,,inven,no title match
Vibration Engineers,vibrationengineers.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,"REVIEW - all emails at unrelated domains (flocycling.com), verify person maps to this company"
Walco Electric,walcokip.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Western Industrial Motor & Machine,westernindustrialmotor.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven,office line only
Slaymaker Group,slaymakergroup.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Zone Industries,zoneindustries.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Ace Electric Motor & Pump Co,aceelectricmotor.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match (10 contacts at domain)
Ace Viking Electric Motor Co,aceviking.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (5 contacts on file)
Armor Electric Repair Svc,armorelectricrepair.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,office line only
BJ Electric Motor Services,bjemotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"Electric Motor Services, Inc.",electricmotorservices.net,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Inman Electric Motors,inmanelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match (2 contacts at domain)
Remsa USA Inc,remsausainc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,office line only; non-owner title (VP)
Traver IDC,traveridc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"""D"" Electric Motors, Inc.",delectricmotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Alabama Electric Company, Inc. of Dothan",alaelectric.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (1 contact at domain)
Allen's Electric Motors Inc.,allenselectricmotors.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Applied Dynamics Corporation,applied-dynamics.com,S7,Motor & Generator Companies,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
